Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ALANDUR,28,M.HARISH,Tamilaga Vettri Kazhagam,T.M.ANBARASAN,Dravida Munnetra Kazhagam,11948,9/31,Result in Progress
ALANGUDI,182,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,DHANA VIMAL,All India Anna Dravida Munnetra Kazhagam,4388,8/20,Result in Progress
ALANGULAM,223,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,291,14/24,Result in Progress
AMBASAMUDRAM,225,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,S.RAJAGOPAL,Tamilaga Vettri Kazhagam,7002,15/23,Result in Progress
AMBATTUR,8,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,32123,12/27,Result in Progress
AMBUR,48,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,VENKATESAN. R,All India Anna Dravida Munnetra Kazhagam,8055,9/22,Result in Progress
ANAIKATTU,44,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,2980,9/22,Result in Progress
ANDIPATTI,198,LOGIRAJAN.A,All India Anna Dravida Munnetra Kazhagam,MAHARAJAN.A,Dravida Munnetra Kazhagam,722,12/25,Result in Progress
ANNA NAGAR,21,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,N.CHITRARASU,Dravida Munnetra Kazhagam,16817,15/20,Result in Progress
ANTHIYUR,105,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,VIJAY VENKATESH.M,Tamilaga Vettri Kazhagam,2166,15/20,Result in Progress
ARAKKONAM,38,V. GANDHIRAJ,Tamilaga Vettri Kazhagam,EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,15833,14/21,Result in Progress
ARANI,67,JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,VENKATESH KUMAR. D,Tamilaga Vettri Kazhagam,3800,15/24,Result in Progress
ARANTHANGI,183,MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,RAMACHANDRAN . T,Indian National Congress,11720,10/22,Result in Progress
ARAVAKURICHI,134,KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,SELVAKUMAR. K,All India Anna Dravida Munnetra Kazhagam,310,13/20,Result in Progress
ARCOT,42,S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,11964,7/23,Result in Progress
ARIYALUR,149,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,LATHA BALU,Dravida Munnetra Kazhagam,9960,14/24,Result in Progress
ARUPPUKKOTTAI,207,KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,2937,10/20,Result in Progress
ATHOOR,129,I. PERIASAMY,Dravida Munnetra Kazhagam,N. KALAISELVI,Tamilaga Vettri Kazhagam,10746,10/25,Result in Progress
ATTUR,82,JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,11672,15/22,Result in Progress
AVADI,6,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,S.M.NASAR,Dravida Munnetra Kazhagam,28067,10/26,Result in Progress
AVANASHI,112,KAMALI.S,Tamilaga Vettri Kazhagam,DR. L. MURUGAN,Bharatiya Janata Party,2066,13/27,Result in Progress
BARGUR,52,E. MURALIDHARAN,Tamilaga Vettri Kazhagam,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,2208,10/24,Result in Progress
BHAVANI,104,KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,BALAKRISHNAN,Tamilaga Vettri Kazhagam,8044,10/22,Result in Progress
BHAVANISAGAR,107,A.BANNARI,All India Anna Dravida Munnetra Kazhagam,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,1552,12/24,Result in Progress
BHUVANAGIRI,157,ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,SARAVANAN. DURAI . K,Dravida Munnetra Kazhagam,7519,9/22,Result in Progress
BODINAYAKANUR,200,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,PRAKASH.S,Tamilaga Vettri Kazhagam,919,11/25,Result in Progress
CHENGALPATTU,32,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,14207,9/36,Result in Progress
CHENGAM,62,S.VELU,All India Anna Dravida Munnetra Kazhagam,K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,2408,7/25,Result in Progress
CHEPAUK-THIRUVALLIKENI,19,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,SELVAM. D,Tamilaga Vettri Kazhagam,1048,8/17,Result in Progress
