Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ALANDUR,28,M.HARISH,Tamilaga Vettri Kazhagam,T.M.ANBARASAN,Dravida Munnetra Kazhagam,23162,19/31,Result in Progress
ALANGUDI,182,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,KANDASAMY,Tamilaga Vettri Kazhagam,10599,16/21,Result in Progress
ALANGULAM,223,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,6847,22/24,Result in Progress
AMBASAMUDRAM,225,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,V.P.DURAI,Indian National Congress,10245,23/23,Result Declared
AMBATTUR,8,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,51992,23/27,Result in Progress
AMBUR,48,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,13617,16/22,Result in Progress
ANAIKATTU,44,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,3766,19/23,Result in Progress
ANDIPATTI,198,MAHARAJAN.A,Dravida Munnetra Kazhagam,LOGIRAJAN.A,All India Anna Dravida Munnetra Kazhagam,9027,22/25,Result in Progress
ANNA NAGAR,21,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,N.CHITRARASU,Dravida Munnetra Kazhagam,21363,20/20,Result Declared
ANTHIYUR,105,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,SIVABALAN.M,Dravida Munnetra Kazhagam,1363,20/20,Result in Progress
ARAKKONAM,38,V. GANDHIRAJ,Tamilaga Vettri Kazhagam,EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,23121,22/22,Result in Progress
ARANI,67,JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,MAHALAKSHMI GOVARTHANAN,Dravida Munnetra Kazhagam,5094,22/24,Result in Progress
ARANTHANGI,183,MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,RAMACHANDRAN . T,Indian National Congress,10062,23/23,Result Declared
ARAVAKURICHI,134,ELANGO. R,Dravida Munnetra Kazhagam,KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,18942,18/20,Result in Progress
ARCOT,42,S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,28884,17/23,Result in Progress
ARIYALUR,149,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,LATHA BALU,Dravida Munnetra Kazhagam,24498,25/25,Result in Progress
